fecha,objetivo_t1,evento,pred_evento,pred_persistencia,pred_hurdle
2022-06-24,32.408,0,0,26.587,26.587
2022-06-25,38.064,0,0,32.408,32.408
2022-06-26,41.281,0,0,38.064,38.064
2022-06-27,81.348,1,0,41.281,41.281
2022-06-28,73.576,0,0,81.348,81.348
2022-06-29,57.355,0,0,73.576,73.576
2022-06-30,42.85,0,0,57.355,57.355
2022-07-01,49.501,0,0,42.85,42.85
2022-07-02,24.221,0,0,49.501,49.501
2022-07-03,33.658,0,0,24.221,24.221
2022-07-04,30.423,0,0,33.658,33.658
2022-07-05,46.464,0,0,30.423,30.423
2022-07-06,35.385,0,0,46.464,46.464
2022-07-07,22.294,0,0,35.385,35.385
2022-07-08,29.617,0,0,22.294,22.294
2022-07-09,34.943,0,0,29.617,29.617
2022-07-10,31.077,0,0,34.943,34.943
2022-07-11,22.806,0,0,31.077,31.077
2022-07-12,98.869,1,0,22.806,22.806
2022-07-13,41.832,1,1,98.869,33.256276688773006
2022-07-14,30.223,0,0,41.832,41.832
2022-07-15,63.855,0,0,30.223,30.223
2022-07-16,29.012,0,0,63.855,63.855
2022-07-17,22.944,0,0,29.012,29.012
2022-07-18,16.575,0,0,22.944,22.944
2022-07-19,21.956,0,0,16.575,16.575
2022-07-20,38.059,0,0,21.956,21.956
2022-07-21,18.965,0,0,38.059,38.059
2022-07-22,40.375,0,0,18.965,18.965
2022-07-23,18.203,0,0,40.375,40.375
2022-07-24,23.438,0,0,18.203,18.203
2022-07-25,14.202,0,0,23.438,23.438
2022-07-26,22.228,0,0,14.202,14.202
2022-07-27,68.807,1,0,22.228,22.228
2022-07-28,43.663,0,0,68.807,68.807
2022-07-29,23.353,0,0,43.663,43.663
2022-07-30,47.717,0,0,23.353,23.353
2022-07-31,125.947,1,0,47.717,47.717
2022-08-01,108.485,0,1,125.947,44.88408756336211
2022-08-02,25.886,1,1,108.485,29.506450970676926
2022-08-03,52.485,0,0,25.886,25.886
2022-08-04,179.883,1,0,52.485,52.485
2022-08-05,133.011,1,1,179.883,43.66460712598125
2022-08-06,34.995,1,1,133.011,41.80938901943046
2022-08-07,28.286,0,0,34.995,34.995
2022-08-08,43.971,0,0,28.286,28.286
2022-08-09,27.974,0,0,43.971,43.971
2022-08-10,18.465,0,0,27.974,27.974
2022-08-11,25.874,0,0,18.465,18.465
2022-08-12,36.686,0,0,25.874,25.874
2022-08-13,26.088,0,0,36.686,36.686
2022-08-14,43.063,0,0,26.088,26.088
2022-08-15,31.729,0,0,43.063,43.063
2022-08-16,17.129,0,0,31.729,31.729
2022-08-17,21.346,0,0,17.129,17.129
2022-08-18,30.327,0,0,21.346,21.346
2022-08-19,53.67,0,0,30.327,30.327
2022-08-20,18.116,0,0,53.67,53.67
2022-08-21,30.569,0,0,18.116,18.116
2022-08-22,22.027,0,0,30.569,30.569
2022-08-23,20.514,0,0,22.027,22.027
2022-08-24,23.058,0,0,20.514,20.514
2022-08-25,24.042,0,0,23.058,23.058
2022-08-26,54.308,0,0,24.042,24.042
2022-08-27,49.661,0,0,54.308,54.308
2022-08-28,124.974,1,0,49.661,49.661
2022-08-29,22.335,1,1,124.974,47.03719622520277
2022-08-30,74.749,1,0,22.335,22.335
2022-08-31,32.175,1,0,74.749,74.749
2022-09-01,31.203,0,0,32.175,32.175
2022-09-02,31.886,0,0,31.203,31.203
2022-09-03,21.619,0,0,31.886,31.886
2022-09-04,21.169,0,0,21.619,21.619
2022-09-05,27.302,0,0,21.169,21.169
2022-09-06,30.626,0,0,27.302,27.302
2022-09-07,63.184,0,0,30.626,30.626
2022-09-08,48.265,0,0,63.184,63.184
2022-09-09,22.076,0,0,48.265,48.265
2022-09-10,19.581,0,0,22.076,22.076
2022-09-11,81.398,1,0,19.581,19.581
2022-09-12,78.639,0,0,81.398,81.398
2022-09-13,51.749,0,0,78.639,78.639
2022-09-14,26.319,0,0,51.749,51.749
2022-09-15,131.499,1,0,26.319,26.319
2022-09-16,25.958,1,1,131.499,51.96758633397227
2022-09-17,94.984,1,0,25.958,25.958
2022-09-18,76.749,0,1,94.984,36.986401209868205
2022-09-19,73.386,0,0,76.749,76.749
2022-09-20,56.46,0,0,73.386,73.386
2022-09-21,56.588,0,0,56.46,56.46
2022-09-22,51.816,0,0,56.588,56.588
2022-09-23,65.113,0,0,51.816,51.816
2022-09-24,51.802,0,0,65.113,65.113
2022-09-25,34.971,0,0,51.802,51.802
2022-09-26,48.18,0,0,34.971,34.971
2022-09-27,125.369,1,0,48.18,48.18
2022-09-28,73.38,1,1,125.369,58.916927426447145
2022-09-29,64.029,0,0,73.38,73.38
2022-09-30,36.854,0,0,64.029,64.029
2022-10-01,28.681,0,0,36.854,36.854
2022-10-02,27.923,0,0,28.681,28.681
2022-10-03,34.44,0,0,27.923,27.923
2022-10-04,69.884,0,0,34.44,34.44
2022-10-05,43.565,0,0,69.884,69.884
2022-10-06,37.095,0,0,43.565,43.565
2022-10-07,48.451,0,0,37.095,37.095
2022-10-08,38.179,0,0,48.451,48.451
2022-10-09,24.971,0,0,38.179,38.179
2022-10-10,36.619,0,0,24.971,24.971
2022-10-11,35.334,0,0,36.619,36.619
2022-10-12,59.479,0,0,35.334,35.334
2022-10-13,26.094,0,0,59.479,59.479
2022-10-14,45.805,0,0,26.094,26.094
2022-10-15,35.305,0,0,45.805,45.805
2022-10-16,72.518,1,0,35.305,35.305
2022-10-17,53.66,0,0,72.518,72.518
2022-10-18,44.576,0,0,53.66,53.66
2022-10-19,37.856,0,0,44.576,44.576
2022-10-20,72.198,0,0,37.856,37.856
2022-10-21,76.024,0,0,72.198,72.198
2022-10-22,40.807,0,0,76.024,76.024
2022-10-23,41.103,0,0,40.807,40.807
2022-10-24,47.204,0,0,41.103,41.103
2022-10-25,83.784,0,0,47.204,47.204
2022-10-26,64.516,0,0,83.784,83.784
2022-10-27,73.152,0,0,64.516,64.516
2022-10-28,48.119,0,0,73.152,73.152
2022-10-29,28.526,0,0,48.119,48.119
2022-10-30,29.602,0,0,28.526,28.526
2022-10-31,27.625,0,0,29.602,29.602
2022-11-01,23.608,0,0,27.625,27.625
2022-11-02,25.375,0,0,23.608,23.608
2022-11-03,30.124,0,0,25.375,25.375
2022-11-04,59.14,0,0,30.124,30.124
2022-11-05,74.531,0,0,59.14,59.14
2022-11-06,54.332,0,0,74.531,74.531
2022-11-07,58.13,0,0,54.332,54.332
2022-11-08,85.403,0,0,58.13,58.13
2022-11-09,78.9,0,0,85.403,85.403
2022-11-10,50.735,0,0,78.9,78.9
2022-11-11,50.022,0,0,50.735,50.735
2022-11-12,58.137,0,0,50.022,50.022
2022-11-13,35.161,0,0,58.137,58.137
2022-11-14,38.208,0,0,35.161,35.161
2022-11-15,39.097,0,0,38.208,38.208
2022-11-16,32.593,0,0,39.097,39.097
2022-11-17,33.814,0,0,32.593,32.593
2022-11-18,22.97,0,0,33.814,33.814
2022-11-19,50.579,0,0,22.97,22.97
2022-11-20,41.118,0,0,50.579,50.579
2022-11-21,41.093,0,0,41.118,41.118
2022-11-22,44.267,0,0,41.093,41.093
2022-11-23,57.828,0,0,44.267,44.267
2022-11-24,41.987,0,0,57.828,57.828
2022-11-25,62.923,0,0,41.987,41.987
2022-11-26,33.286,0,0,62.923,62.923
2022-11-27,34.184,0,0,33.286,33.286
2022-11-28,54.925,0,0,34.184,34.184
2022-11-29,40.956,0,0,54.925,54.925
2022-11-30,24.253,0,0,40.956,40.956
2022-12-01,23.836,0,0,24.253,24.253
2022-12-02,30.744,0,0,23.836,23.836
2022-12-03,34.326,0,0,30.744,30.744
2022-12-04,25.3,0,0,34.326,34.326
2022-12-05,25.677,0,0,25.3,25.3
2022-12-06,29.664,0,0,25.677,25.677
2022-12-07,35.33,0,0,29.664,29.664
2022-12-08,27.269,0,0,35.33,35.33
2022-12-09,17.208,0,0,27.269,27.269
2022-12-10,28.66,0,0,17.208,17.208
2022-12-11,78.024,1,0,28.66,28.66
2022-12-12,43.296,0,1,78.024,32.591648845320925
2022-12-13,22.537,0,0,43.296,43.296
2022-12-14,21.492,0,0,22.537,22.537
2022-12-15,24.543,0,0,21.492,21.492
2022-12-16,23.385,0,0,24.543,24.543
2022-12-17,19.333,0,0,23.385,23.385
2022-12-18,28.356,0,0,19.333,19.333
2022-12-19,21.044,0,0,28.356,28.356
2022-12-20,13.691,0,0,21.044,21.044
2022-12-21,21.432,0,0,13.691,13.691
2022-12-22,25.469,0,0,21.432,21.432
2022-12-23,25.633,0,0,25.469,25.469
