fecha,allsky_sfc_sw_dwn,clrsky_sfc_sw_dwn,t2m
2000-12-28,3.8366,6.3538,19.78
2000-12-29,2.9854,6.6206,19.75
2000-12-30,4.5802,6.4565,19.72
2000-12-31,5.6234,6.5194,19.88
2001-01-01,5.8176,6.5417,20.05
2001-01-02,5.8702,6.6516,20.15
2001-01-03,4.9519,6.6235,19.65
2001-01-04,4.5053,6.617,19.55
2001-01-05,4.6634,6.4814,18.85
2001-01-06,3.9036,6.3394,18.67
2001-01-07,4.301,6.4291,19.02
2001-01-08,5.9266,6.6197,19.75
2001-01-09,5.0926,6.6,19.42
2001-01-10,3.8587,6.5496,18.99
2001-01-11,4.5924,6.4704,19.18
2001-01-12,4.6474,6.5722,19.33
2001-01-13,4.6985,6.5954,19.5
2001-01-14,4.9207,6.5918,19.7
2001-01-15,5.3455,6.6038,19.53
2001-01-16,4.2058,6.481,19.72
2001-01-17,3.1793,6.2933,18.59
2001-01-18,3.8438,6.5297,19.35
2001-01-19,4.2919,6.6746,20.25
2001-01-20,3.6067,6.7822,19.37
2001-01-21,4.5725,6.7553,18.94
2001-01-22,3.8969,6.5246,19.19
2001-01-23,3.5242,6.6708,19.32
2001-01-24,4.9651,6.7579,19.24
2001-01-25,4.9795,6.7656,19.73
2001-01-26,5.6534,6.889,19.22
2001-01-27,4.59,6.7358,19.79
2001-01-28,6.1692,6.8988,19.81
2001-01-29,6.4682,6.9199,19.5
2001-01-30,6.3533,6.8674,19.81
2001-01-31,6.2208,6.9454,19.59
2001-02-01,5.8992,6.877,19.5
2001-02-02,5.3983,6.8748,19.8
2001-02-03,4.3447,6.6127,18.69
2001-02-04,5.1485,6.7644,19.29
2001-02-05,4.8583,6.7267,20.37
2001-02-06,5.0105,6.7807,21.01
2001-02-07,6.1428,7.0104,22.04
2001-02-08,5.6234,6.9161,21.41
2001-02-09,5.4854,7.0404,21.4
2001-02-10,5.6004,7.1297,21.85
2001-02-11,5.5934,7.0195,22.14
2001-02-12,5.2073,6.9463,22.59
2001-02-13,6.8405,7.109,22.9
2001-02-14,5.2178,7.0738,22.75
2001-02-15,4.901,6.8882,22.63
2001-02-16,3.9629,6.9559,22.55
2001-02-17,3.989,6.8321,21.56
2001-02-18,4.6574,6.6439,21.69
2001-02-19,3.7692,6.3346,21.77
2001-02-20,3.5465,6.7046,20.99
2001-02-21,3.1898,6.7457,20.74
2001-02-22,4.7023,6.7622,21.09
2001-02-23,4.1054,6.6247,20.93
2001-02-24,3.4375,6.4495,21.06
2001-02-25,3.5568,6.6914,21.54
2001-02-26,1.758,6.6744,19.64
2001-02-27,4.3644,6.8933,20.39
2001-02-28,4.9982,6.9005,20.0
2001-03-01,4.1506,6.8606,19.7
2001-03-02,5.6129,7.3428,21.1
2001-03-03,5.6542,7.0805,21.54
2001-03-04,4.1047,6.8479,21.71
2001-03-05,4.7986,7.0435,20.9
2001-03-06,3.4752,6.6614,19.8
2001-03-07,3.5544,7.0238,21.31
2001-03-08,4.8125,7.0906,20.98
2001-03-09,4.9685,6.9259,21.38
2001-03-10,4.6078,7.1172,22.07
2001-03-11,4.0838,7.3994,21.83
2001-03-12,6.0991,7.1609,21.96
2001-03-13,4.981,6.8491,22.86
2001-03-14,4.033,6.4829,22.6
2001-03-15,4.475,6.7766,22.3
2001-03-16,4.1122,6.3662,21.76
2001-03-17,3.3038,6.2551,21.52
2001-03-18,3.2095,6.3482,21.08
2001-03-19,2.867,5.9645,20.82
2001-03-20,3.8134,6.1157,19.12
2001-03-21,2.6318,7.0913,20.16
2001-03-22,3.8258,6.8208,19.95
2001-03-23,4.6966,7.1004,20.22
2001-03-24,4.483,7.2466,20.74
2001-03-25,5.3674,6.9062,21.05
2001-03-26,5.2567,7.4057,21.44
2001-03-27,5.683,7.1873,20.8
2001-03-28,5.3023,7.0822,21.88
2001-03-29,4.0159,7.0188,21.41
2001-03-30,5.6974,7.0668,21.31
2001-03-31,5.599,7.1405,21.76
2001-04-01,5.2625,6.9434,21.56
2001-04-02,5.5586,7.1417,21.67
2001-04-03,5.6323,6.9211,22.17
2001-04-04,3.4006,7.0939,21.58
2001-04-05,4.4434,6.617,19.97
2001-04-06,5.3412,6.7123,21.62
2001-04-07,3.853,6.9194,22.26
2001-04-08,6.3703,7.345,22.62
2001-04-09,5.1823,7.3574,21.33
2001-04-10,5.4324,7.0663,21.25
2001-04-11,4.1741,7.2086,20.66
2001-04-12,5.9191,7.3932,20.64
2001-04-13,4.6534,7.0997,21.27
2001-04-14,3.4625,7.1482,20.0
2001-04-15,4.5341,7.0874,19.94
2001-04-16,3.911,7.1304,19.98
2001-04-17,2.6654,7.0042,19.55
2001-04-18,5.0813,7.2557,21.01
2001-04-19,3.7006,7.2185,20.25
2001-04-20,5.0059,7.4126,20.2
2001-04-21,5.8423,7.3022,21.02
2001-04-22,4.4813,7.3073,20.97
2001-04-23,4.1525,7.2209,19.85
2001-04-24,4.9562,7.2192,20.94
2001-04-25,4.5658,7.3966,21.22
2001-04-26,5.2085,7.4059,20.72
2001-04-27,5.627,7.3822,21.56
2001-04-28,5.1173,7.5905,21.84
2001-04-29,4.9361,7.5058,22.13
2001-04-30,5.7238,7.4844,21.76
2001-05-01,6.2522,7.5425,21.45
2001-05-02,4.4458,7.3697,21.37
2001-05-03,4.7093,7.4105,21.54
2001-05-04,4.1278,7.5317,21.93
2001-05-05,4.6358,7.3872,21.85
2001-05-06,4.0063,7.289,21.35
2001-05-07,4.0766,7.3673,21.32
